p_transf,resource,usage
0.0,cap_OT,0.5199625218120449
0.0,cap_ICU,0.24165110640045204
0.0,cap_Ward,0.5783657156934534
0.1,cap_OT,0.6131674862700057
0.1,cap_ICU,0.28496784912411505
0.1,cap_Ward,0.6820396416276725
0.2,cap_OT,0.655174504958557
0.2,cap_ICU,0.3044904918470881
0.2,cap_Ward,0.7287649697210963
0.30000000000000004,cap_OT,0.6971815236471074
0.30000000000000004,cap_ICU,0.32401313457006126
0.30000000000000004,cap_Ward,0.77549029781452
0.4,cap_OT,0.7391885423356588
0.4,cap_ICU,0.34353577729303436
0.4,cap_Ward,0.8222156259079441
0.5,cap_OT,0.7760140903606048
0.5,cap_ICU,0.3606503462296924
0.5,cap_Ward,0.8631774905535481
0.6000000000000001,cap_OT,0.8043824493803792
0.6000000000000001,cap_ICU,0.3738344605770187
0.6000000000000001,cap_Ward,0.894732238404109
0.7000000000000001,cap_OT,0.8313558546640079
0.7000000000000001,cap_ICU,0.38637027413423564
0.7000000000000001,cap_Ward,0.924735348622878
0.8,cap_OT,0.8583256002669174
0.8,cap_ICU,0.3989043868652245
0.8,cap_Ward,0.9547343880985233
0.9,cap_OT,0.8805890868436761
0.9,cap_ICU,0.4092512790697944
0.9,cap_Ward,0.9794985524519967
1.0,cap_OT,0.8990194955709148
1.0,cap_ICU,0.4178167592217755
1.0,cap_Ward,0.9999991002547559
