dep_code,p_transf,p_orth,resources_mult,pathway,share
42,0.1,0.12,1,HC_HDJ,0.0
42,0.1,0.12,1,HC,0.331
42,0.1,0.12,1,DOM,0.63
42,0.1,0.12,1,HDJ,0.038
42,0.2,0.12,1,HC_HDJ,0.0
42,0.2,0.12,1,HC,0.458
42,0.2,0.12,1,DOM,0.505
42,0.2,0.12,1,HDJ,0.037
42,0.3,0.12,1,HC_HDJ,0.0
42,0.3,0.12,1,HC,0.49
42,0.3,0.12,1,DOM,0.475
42,0.3,0.12,1,HDJ,0.035
42,0.4,0.12,1,HC_HDJ,0.0
42,0.4,0.12,1,HC,0.49
42,0.4,0.12,1,DOM,0.475
42,0.4,0.12,1,HDJ,0.035
42,0.5,0.12,1,HC_HDJ,0.0
42,0.5,0.12,1,HC,0.49
42,0.5,0.12,1,DOM,0.475
42,0.5,0.12,1,HDJ,0.035
42,0.6,0.12,1,HC_HDJ,0.0
42,0.6,0.12,1,HC,0.49
42,0.6,0.12,1,DOM,0.475
42,0.6,0.12,1,HDJ,0.035
42,0.7,0.12,1,HC_HDJ,0.0
42,0.7,0.12,1,HC,0.49
42,0.7,0.12,1,DOM,0.475
42,0.7,0.12,1,HDJ,0.035
42,0.8,0.12,1,HC_HDJ,0.0
42,0.8,0.12,1,HC,0.49
42,0.8,0.12,1,DOM,0.475
42,0.8,0.12,1,HDJ,0.035
42,0.9,0.12,1,HC_HDJ,0.0
42,0.9,0.12,1,HC,0.49
42,0.9,0.12,1,DOM,0.475
42,0.9,0.12,1,HDJ,0.035
42,1.0,0.12,1,HC_HDJ,0.0
42,1.0,0.12,1,HC,0.49
42,1.0,0.12,1,DOM,0.475
42,1.0,0.12,1,HDJ,0.035
42,1,0,1.05,HC_HDJ,0.0
42,1,0,1.05,HC,0.454
42,1,0,1.05,DOM,0.517
42,1,0,1.05,HDJ,0.029
42,1,0,1.1,HC_HDJ,0.0
42,1,0,1.1,HC,0.454
42,1,0,1.1,DOM,0.517
42,1,0,1.1,HDJ,0.029
42,1,0,1.15,HC_HDJ,0.0
42,1,0,1.15,HC,0.454
42,1,0,1.15,DOM,0.517
42,1,0,1.15,HDJ,0.029
42,1,0,1.2,HC_HDJ,0.0
42,1,0,1.2,HC,0.454
42,1,0,1.2,DOM,0.517
42,1,0,1.2,HDJ,0.029
42,1,0,1.25,HC_HDJ,0.0
42,1,0,1.25,HC,0.454
42,1,0,1.25,DOM,0.517
42,1,0,1.25,HDJ,0.029
