p_transf,pathway,share
0.6000000000000001,H64A|B|C,0.0
0.6000000000000001,I30Z,0.003
0.6000000000000001,F08A|B,0.003
0.6000000000000001,B78A|B|C,0.001
0.6000000000000001,R03A|B|C,0.001
0.6000000000000001,I64A|B,0.0
0.6000000000000001,N04A|B,0.0
0.6000000000000001,F41A|B,0.0
0.6000000000000001,B03A|B,0.003
0.6000000000000001,B68A|B,0.002
0.6000000000000001,F68Z,0.011
0.6000000000000001,H63A|B|C,0.0
0.6000000000000001,I20Z,0.003
0.6000000000000001,M62A_B,0.0
0.6000000000000001,F64A|B,0.0
0.6000000000000001,R60A|B|C,0.003
0.6000000000000001,H05A|B,0.0
0.6000000000000001,H62A|B,0.0
0.6000000000000001,B71A|B|C,0.003
0.6000000000000001,E41a|B,0.004
0.6000000000000001,I31A|B,0.004
0.6000000000000001,L40Z,0.022
0.6000000000000001,X00X|A,0.01
0.6000000000000001,K64A|B|C,0.0
0.6000000000000001,F67A|B,0.0
0.6000000000000001,D62A|B,0.0
0.6000000000000001,G03A|B|C,0.001
0.6000000000000001,B04A|B,0.002
0.6000000000000001,J11Z,0.004
0.6000000000000001,J14Z,0.001
0.6000000000000001,K13Z,0.001
0.6000000000000001,F60A|B,0.0
0.6000000000000001,G07A|B,0.003
0.6000000000000001,B76A|B|C,0.003
0.6000000000000001,C16Z,0.003
0.6000000000000001,E63Z,0.001
0.6000000000000001,M40Z,0.001
0.6000000000000001,E64A|B,0.002
0.6000000000000001,G04A|B|C,0.003
0.6000000000000001,B70A|B|C|D,0.002
0.6000000000000001,J63A|B,0.0
0.6000000000000001,F01A|B,0.0
0.6000000000000001,N08Z,0.0
0.6000000000000001,L60A|B|C,0.001
0.6000000000000001,R04A|B,0.0
0.6000000000000001,I27A|B|C,0.003
0.6000000000000001,D15Z,0.003
0.6000000000000001,F09A|B|C,0.0
0.6000000000000001,I17A|B,0.004
0.6000000000000001,F07A|B,0.0
0.6000000000000001,F65A|B,0.0
0.6000000000000001,K11A|B,0.001
0.6000000000000001,R63Z,0.005
0.6000000000000001,G05A|B|C,0.002
0.6000000000000001,L63A|B,0.011
0.6000000000000001,R61A|B|C,0.033
0.6000000000000001,I80Z,0.0
0.6000000000000001,I01A|B,0.004
0.6000000000000001,D66A|B|C,0.0
0.6000000000000001,L66Z,0.022
0.6000000000000001,H61A|B|C,0.0
0.6000000000000001,G47A|B|C,0.003
0.6000000000000001,H06A|B,0.0
0.6000000000000001,B79A|B,0.0
0.6000000000000001,I05A|B,0.002
0.6000000000000001,I67A|B,0.0
0.6000000000000001,I74A|B,0.0
0.6000000000000001,I19A|B,0.004
0.6000000000000001,G60A|B,0.023
0.6000000000000001,I11Z,0.001
0.6000000000000001,D02A|B|C,0.0
0.6000000000000001,U60Z,0.002
0.6000000000000001,G67A|B,0.009
0.6000000000000001,A40A|B,0.0
0.6000000000000001,F42A|B|C,0.0
0.6000000000000001,H02A|B,0.0
0.6000000000000001,K09A|B,0.0
0.6000000000000001,J65A|B|C,0.0
0.6000000000000001,M05Z,0.002
0.6000000000000001,G61A|B,0.024
0.6000000000000001,F40A|B,0.0
0.6000000000000001,E67A|B,0.004
0.6000000000000001,D04Z,0.0
0.6000000000000001,C05Z,0.006
0.6000000000000001,K60A|B|C,0.001
0.6000000000000001,F04A|B,0.0
0.6000000000000001,I12A|B|C,0.004
0.6000000000000001,I15Z,0.002
0.6000000000000001,J67A|B,0.0
0.6000000000000001,F63A|B,0.0
0.6000000000000001,I07Z,0.004
0.6000000000000001,I28A|B,0.002
0.6000000000000001,I60Z,0.0
0.6000000000000001,J64A|B,0.0
0.6000000000000001,I18Z,0.002
0.6000000000000001,M01A|B,0.005
0.6000000000000001,B73Z,0.003
0.6000000000000001,G48A|B|C,0.011
0.6000000000000001,F18A|B,0.0
0.6000000000000001,F75A|B|C,0.0
0.6000000000000001,D11Z,0.003
0.6000000000000001,E42A|B|C,0.004
0.6000000000000001,M60A|B,0.0
0.6000000000000001,L07A|B,0.0
0.6000000000000001,R02A|B|C,0.001
0.6000000000000001,L68Z,0.006
0.6000000000000001,F10A|B,0.0
0.6000000000000001,K61Z,0.001
0.6000000000000001,C15Z,0.004
0.6000000000000001,I68A|B,0.0
0.6000000000000001,D63A|B|C,0.0
0.6000000000000001,I03A|B,0.001
0.6000000000000001,M64Z,0.0
0.6000000000000001,I78A|B,0.0
0.6000000000000001,E01A|B,0.002
0.6000000000000001,B41Z,0.002
0.6000000000000001,L62A|B,0.004
0.6000000000000001,L42Z,0.02
0.6000000000000001,E66A|B|C,0.002
0.6000000000000001,F73A|B|C,0.0
0.6000000000000001,G46A|B|C,0.006
0.6000000000000001,M06A|B,0.014
0.6000000000000001,D61A|B|C,0.0
0.6000000000000001,E74A|B|C,0.002
0.6000000000000001,K12Z,0.001
0.6000000000000001,F03A|B,0.0
0.6000000000000001,G02A|B,0.003
0.6000000000000001,L08A|B,0.001
0.6000000000000001,N60A|B,0.022
0.6000000000000001,B05Z,0.003
0.6000000000000001,B81A|B,0.001
0.6000000000000001,F19A|B,0.0
0.6000000000000001,E61A|B,0.0
0.6000000000000001,L09A|B|C,0.0
0.6000000000000001,I29Z,0.004
0.6000000000000001,I21Z,0.003
0.6000000000000001,J01A|B,0.002
0.6000000000000001,E65A|B,0.004
0.6000000000000001,D65Z,0.0
0.6000000000000001,U64Z,0.008
0.6000000000000001,N61Z,0.004
0.6000000000000001,F02Z,0.0
0.6000000000000001,E73A|B|C,0.003
0.6000000000000001,K63A|B,0.0
0.6000000000000001,F61A|B,0.003
0.6000000000000001,L06A|B,0.0
0.6000000000000001,E70A|B,0.003
0.6000000000000001,L03A|B|C,0.002
0.6000000000000001,N09Z,0.0
0.6000000000000001,N10Z,0.0
0.6000000000000001,F17Z,0.0
0.6000000000000001,G10A|B,0.003
0.6000000000000001,L67A|B|C,0.028
0.6000000000000001,B77Z,0.002
0.6000000000000001,B80A|B,0.003
0.6000000000000001,I02A|B,0.0
0.6000000000000001,J09Z,0.001
0.6000000000000001,D14A|B,0.001
0.6000000000000001,I71A|B,0.0
0.6000000000000001,E62A|B|C,0.004
0.6000000000000001,E68A|B,0.001
0.6000000000000001,I61A|B,0.0
0.6000000000000001,G64A|B,0.006
0.6000000000000001,B72A|B,0.0
0.6000000000000001,E75A|B,0.003
0.6000000000000001,C11Z,0.003
0.6000000000000001,I77A|B,0.0
0.6000000000000001,U67Z,0.011
0.6000000000000001,C60A|B,0.001
0.6000000000000001,K08Z,0.0
0.6000000000000001,H60A|B|C,0.0
0.6000000000000001,E02A|B|C,0.0
0.6000000000000001,G12A|B|C,0.004
0.6000000000000001,F20Z,0.001
0.6000000000000001,G66A|B,0.014
0.6000000000000001,B66A|B|C,0.002
0.6000000000000001,J12A|B|C,0.004
0.6000000000000001,C63A|B,0.001
0.6000000000000001,F72A|B,0.016
0.6000000000000001,K40A|B|C,0.001
0.6000000000000001,I09A|B,0.004
0.6000000000000001,I65A|B,0.0
0.6000000000000001,F14A|B|C,0.001
0.6000000000000001,F69A|B,0.006
0.6000000000000001,N07A|B,0.0
0.6000000000000001,C01Z,0.005
0.6000000000000001,C02Z,0.006
0.6000000000000001,C61A|B,0.001
0.6000000000000001,C12Z,0.005
0.6000000000000001,I04A|B,0.001
0.6000000000000001,F74A|B,0.013
0.6000000000000001,I06Z,0.003
0.6000000000000001,I25A|B,0.003
0.6000000000000001,J06A|B,0.001
0.6000000000000001,G01A|B,0.004
0.6000000000000001,M02A|B,0.015
0.6000000000000001,U62A|B,0.008
0.6000000000000001,F06A|B,0.001
0.6000000000000001,M03Z,0.009
0.6000000000000001,J62A|B,0.0
0.6000000000000001,T60A|B,0.0
0.6000000000000001,B01A|B,0.003
0.6000000000000001,T61A|B,0.001
0.6000000000000001,H01A|B,0.0
0.7000000000000001,K03Z,0.001
0.7000000000000001,T62A|B,0.001
0.7000000000000001,K62A|B|C,0.0
0.7000000000000001,B67A|B|C,0.003
0.7000000000000001,B82A|B|C,0.002
0.7000000000000001,J07A|B,0.004
0.7000000000000001,H07A|B,0.0
0.7000000000000001,B06A|B|C,0.001
0.7000000000000001,B63Z,0.002
0.7000000000000001,I66A|B,0.0
0.7000000000000001,E69A|B,0.003
0.7000000000000001,E40A|B,0.002
0.7000000000000001,T40Z,0.002
0.7000000000000001,E71A|B|C,0.004
0.7000000000000001,C03Z,0.004
0.7000000000000001,J69A|B|C,0.0
0.7000000000000001,C14Z,0.004
0.7000000000000001,U61A|B,0.005
0.7000000000000001,K05A|B,0.001
0.7000000000000001,D100Z,0.006
0.7000000000000001,L61Z,0.025
0.7000000000000001,B42A|B,0.002
0.7000000000000001,K02A|B,0.001
0.7000000000000001,D05Z,0.005
0.7000000000000001,B02A|B|C,0.002
0.7000000000000001,D64Z,0.0
0.7000000000000001,K06A|B,0.0
0.7000000000000001,C04Z,0.003
0.7000000000000001,J13A|B,0.004
0.7000000000000001,G11Z,0.003
0.7000000000000001,D60A|B|C,0.0
0.7000000000000001,I16Z,0.003
0.7000000000000001,L02A|B,0.003
0.7000000000000001,I10A|B,0.0
0.7000000000000001,B07A|B,0.0
0.7000000000000001,T63A|B,0.001
0.7000000000000001,L05A|B,0.002
0.7000000000000001,I13A|B|C,0.004
0.7000000000000001,B69A|B,0.003
0.7000000000000001,I73A|B,0.0
0.7000000000000001,G70A|B|C,0.026
0.7000000000000001,L04A|B|C,0.0
0.7000000000000001,C13Z,0.004
0.7000000000000001,E76A|B,0.003
0.7000000000000001,I08A|B,0.002
0.7000000000000001,I23Z,0.004
0.7000000000000001,J08A|B|C,0.004
0.7000000000000001,J60A|B|C,0.0
0.7000000000000001,U68Z,0.006
0.7000000000000001,F12A|B,0.0
0.7000000000000001,T64A|B|C,0.002
0.7000000000000001,H08A|B,0.0
0.7000000000000001,D06Z,0.001
0.7000000000000001,I72A|B,0.0
0.7000000000000001,B64A|B,0.001
0.7000000000000001,N62Z,0.014
0.7000000000000001,G65A|B,0.02
0.7000000000000001,N06Z,0.0
0.7000000000000001,F43Z,0.0
0.7000000000000001,R01A|B,0.001
0.7000000000000001,X00X|B,0.041
0.7000000000000001,F76A|B|C,0.002
0.7000000000000001,I69A|B,0.0
0.7000000000000001,D13Z,0.002
0.7000000000000001,U66Z,0.0
0.7000000000000001,U40Z,0.002
0.7000000000000001,K01A|B,0.001
0.7000000000000001,M61A|B,0.001
0.7000000000000001,I32A|B,0.004
0.7000000000000001,J68A|B|C,0.0
0.7000000000000001,L65A|B,0.004
0.7000000000000001,I75A|B,0.0
0.7000000000000001,F11A|B,0.002
0.7000000000000001,L64A|B|C,0.007
0.7000000000000001,J10Z,0.003
0.7000000000000001,M04Z,0.003
0.7000000000000001,R62A|B,0.019
0.7000000000000001,I76A|B,0.0
0.7000000000000001,C62A|B,0.0
0.7000000000000001,I63A|B,0.0
0.7000000000000001,C10Z,0.001
0.7000000000000001,U63A|B,0.008
0.7000000000000001,F62A|B|C,0.01
0.7000000000000001,F13A|B,0.001
0.7000000000000001,I81Z,0.0
0.7000000000000001,F21A|B,0.003
0.7000000000000001,F05A|B,0.001
0.7000000000000001,I24Z,0.004
0.7000000000000001,U65Z,0.003
0.7000000000000001,F66A|B,0.004
0.7000000000000001,D12A|B,0.004
0.7000000000000001,I79A|B,0.0
0.7000000000000001,T01A|B|C,0.0
0.7000000000000001,N11Z,0.001
0.7000000000000001,L41Z,0.02
0.7000000000000001,H64A|B|C,0.0
0.7000000000000001,I30Z,0.003
0.7000000000000001,F08A|B,0.003
0.7000000000000001,B78A|B|C,0.001
0.7000000000000001,R03A|B|C,0.001
0.7000000000000001,I64A|B,0.0
0.7000000000000001,N04A|B,0.0
0.7000000000000001,F41A|B,0.0
0.7000000000000001,B03A|B,0.003
0.7000000000000001,B68A|B,0.002
0.7000000000000001,F68Z,0.011
0.7000000000000001,H63A|B|C,0.0
0.7000000000000001,I20Z,0.003
0.7000000000000001,M62A_B,0.0
0.7000000000000001,F64A|B,0.0
0.7000000000000001,R60A|B|C,0.003
0.7000000000000001,H05A|B,0.0
0.7000000000000001,H62A|B,0.0
0.7000000000000001,B71A|B|C,0.003
0.7000000000000001,E41a|B,0.004
0.7000000000000001,I31A|B,0.004
0.7000000000000001,L40Z,0.022
0.7000000000000001,X00X|A,0.01
0.7000000000000001,K64A|B|C,0.0
0.7000000000000001,F67A|B,0.0
0.7000000000000001,D62A|B,0.0
0.7000000000000001,G03A|B|C,0.001
0.7000000000000001,B04A|B,0.002
0.7000000000000001,J11Z,0.004
0.7000000000000001,J14Z,0.001
0.7000000000000001,K13Z,0.001
0.7000000000000001,F60A|B,0.0
0.7000000000000001,G07A|B,0.003
0.7000000000000001,B76A|B|C,0.003
0.7000000000000001,C16Z,0.003
0.7000000000000001,E63Z,0.001
0.7000000000000001,M40Z,0.001
0.7000000000000001,E64A|B,0.002
0.7000000000000001,G04A|B|C,0.003
0.7000000000000001,B70A|B|C|D,0.002
0.7000000000000001,J63A|B,0.0
0.7000000000000001,F01A|B,0.0
0.7000000000000001,N08Z,0.0
0.7000000000000001,L60A|B|C,0.001
0.7000000000000001,R04A|B,0.0
0.7000000000000001,I27A|B|C,0.003
0.7000000000000001,D15Z,0.003
0.7000000000000001,F09A|B|C,0.0
0.7000000000000001,I17A|B,0.004
0.7000000000000001,F07A|B,0.0
0.7000000000000001,F65A|B,0.0
0.7000000000000001,K11A|B,0.001
0.7000000000000001,R63Z,0.005
0.7000000000000001,G05A|B|C,0.002
0.7000000000000001,L63A|B,0.011
0.7000000000000001,R61A|B|C,0.033
0.7000000000000001,I80Z,0.0
0.7000000000000001,I01A|B,0.004
0.7000000000000001,D66A|B|C,0.0
0.7000000000000001,L66Z,0.022
0.7000000000000001,H61A|B|C,0.0
0.7000000000000001,G47A|B|C,0.003
0.7000000000000001,H06A|B,0.0
0.7000000000000001,B79A|B,0.0
0.7000000000000001,I05A|B,0.002
0.7000000000000001,I67A|B,0.0
0.7000000000000001,I74A|B,0.0
0.7000000000000001,I19A|B,0.004
0.7000000000000001,G60A|B,0.023
0.7000000000000001,I11Z,0.001
0.7000000000000001,D02A|B|C,0.0
0.7000000000000001,U60Z,0.002
0.7000000000000001,G67A|B,0.009
0.7000000000000001,A40A|B,0.0
0.7000000000000001,F42A|B|C,0.0
0.7000000000000001,H02A|B,0.0
0.7000000000000001,K09A|B,0.0
0.7000000000000001,J65A|B|C,0.0
0.7000000000000001,M05Z,0.002
0.7000000000000001,G61A|B,0.024
0.7000000000000001,F40A|B,0.0
0.7000000000000001,E67A|B,0.004
0.7000000000000001,D04Z,0.0
0.7000000000000001,C05Z,0.006
0.7000000000000001,K60A|B|C,0.001
0.7000000000000001,F04A|B,0.0
0.7000000000000001,I12A|B|C,0.004
0.7000000000000001,I15Z,0.002
0.7000000000000001,J67A|B,0.0
0.7000000000000001,F63A|B,0.0
0.7000000000000001,I07Z,0.004
0.7000000000000001,I28A|B,0.002
0.7000000000000001,I60Z,0.0
0.7000000000000001,J64A|B,0.0
0.7000000000000001,I18Z,0.002
0.7000000000000001,M01A|B,0.005
0.7000000000000001,B73Z,0.003
0.7000000000000001,G48A|B|C,0.011
0.7000000000000001,F18A|B,0.0
0.7000000000000001,F75A|B|C,0.0
0.7000000000000001,D11Z,0.003
0.7000000000000001,E42A|B|C,0.004
0.7000000000000001,M60A|B,0.0
0.7000000000000001,L07A|B,0.0
0.7000000000000001,R02A|B|C,0.001
0.7000000000000001,L68Z,0.006
0.7000000000000001,F10A|B,0.0
0.7000000000000001,K61Z,0.001
0.7000000000000001,C15Z,0.004
0.7000000000000001,I68A|B,0.0
0.7000000000000001,D63A|B|C,0.0
0.7000000000000001,I03A|B,0.001
0.7000000000000001,M64Z,0.0
0.7000000000000001,I78A|B,0.0
0.7000000000000001,E01A|B,0.002
0.7000000000000001,B41Z,0.002
0.7000000000000001,L62A|B,0.004
0.7000000000000001,L42Z,0.02
0.7000000000000001,E66A|B|C,0.002
0.7000000000000001,F73A|B|C,0.0
0.7000000000000001,G46A|B|C,0.006
0.7000000000000001,M06A|B,0.014
0.7000000000000001,D61A|B|C,0.0
0.7000000000000001,E74A|B|C,0.002
0.7000000000000001,K12Z,0.001
0.7000000000000001,F03A|B,0.0
0.7000000000000001,G02A|B,0.003
0.7000000000000001,L08A|B,0.001
0.7000000000000001,N60A|B,0.022
0.7000000000000001,B05Z,0.003
0.7000000000000001,B81A|B,0.001
0.7000000000000001,F19A|B,0.0
0.7000000000000001,E61A|B,0.0
0.7000000000000001,L09A|B|C,0.0
0.7000000000000001,I29Z,0.004
0.7000000000000001,I21Z,0.003
0.7000000000000001,J01A|B,0.002
0.7000000000000001,E65A|B,0.004
0.7000000000000001,D65Z,0.0
0.7000000000000001,U64Z,0.008
0.7000000000000001,N61Z,0.004
0.7000000000000001,F02Z,0.0
0.7000000000000001,E73A|B|C,0.003
0.7000000000000001,K63A|B,0.0
0.7000000000000001,F61A|B,0.003
0.7000000000000001,L06A|B,0.0
0.7000000000000001,E70A|B,0.003
0.7000000000000001,L03A|B|C,0.002
0.7000000000000001,N09Z,0.0
0.7000000000000001,N10Z,0.0
0.7000000000000001,F17Z,0.0
0.7000000000000001,G10A|B,0.003
0.7000000000000001,L67A|B|C,0.028
0.7000000000000001,B77Z,0.002
0.7000000000000001,B80A|B,0.003
0.7000000000000001,I02A|B,0.0
0.7000000000000001,J09Z,0.001
0.7000000000000001,D14A|B,0.001
0.7000000000000001,I71A|B,0.0
0.7000000000000001,E62A|B|C,0.004
0.7000000000000001,E68A|B,0.001
0.7000000000000001,I61A|B,0.0
0.7000000000000001,G64A|B,0.006
0.7000000000000001,B72A|B,0.0
0.7000000000000001,E75A|B,0.003
0.7000000000000001,C11Z,0.003
0.7000000000000001,I77A|B,0.0
0.7000000000000001,U67Z,0.011
0.7000000000000001,C60A|B,0.001
0.7000000000000001,K08Z,0.0
0.7000000000000001,H60A|B|C,0.0
0.7000000000000001,E02A|B|C,0.0
0.7000000000000001,G12A|B|C,0.004
0.7000000000000001,F20Z,0.001
0.7000000000000001,G66A|B,0.014
0.7000000000000001,B66A|B|C,0.002
0.7000000000000001,J12A|B|C,0.004
0.7000000000000001,C63A|B,0.001
0.7000000000000001,F72A|B,0.016
0.7000000000000001,K40A|B|C,0.001
0.7000000000000001,I09A|B,0.004
0.7000000000000001,I65A|B,0.0
0.7000000000000001,F14A|B|C,0.001
0.7000000000000001,F69A|B,0.006
0.7000000000000001,N07A|B,0.0
0.7000000000000001,C01Z,0.005
0.7000000000000001,C02Z,0.006
0.7000000000000001,C61A|B,0.001
0.7000000000000001,C12Z,0.005
0.7000000000000001,I04A|B,0.001
0.7000000000000001,F74A|B,0.013
0.7000000000000001,I06Z,0.003
0.7000000000000001,I25A|B,0.003
0.7000000000000001,J06A|B,0.001
0.7000000000000001,G01A|B,0.004
0.7000000000000001,M02A|B,0.015
0.7000000000000001,U62A|B,0.008
0.7000000000000001,F06A|B,0.001
0.7000000000000001,M03Z,0.009
0.7000000000000001,J62A|B,0.0
0.7000000000000001,T60A|B,0.0
0.7000000000000001,B01A|B,0.003
0.7000000000000001,T61A|B,0.001
0.7000000000000001,H01A|B,0.0
0.8,K03Z,0.001
0.8,T62A|B,0.001
0.8,K62A|B|C,0.0
0.8,B67A|B|C,0.003
0.8,B82A|B|C,0.002
0.8,J07A|B,0.004
0.8,H07A|B,0.0
0.8,B06A|B|C,0.001
0.8,B63Z,0.002
0.8,I66A|B,0.0
0.8,E69A|B,0.003
0.8,E40A|B,0.002
0.8,T40Z,0.002
0.8,E71A|B|C,0.004
0.8,C03Z,0.004
0.8,J69A|B|C,0.0
0.8,C14Z,0.004
0.8,U61A|B,0.005
0.8,K05A|B,0.001
0.8,D100Z,0.006
0.8,L61Z,0.025
0.8,B42A|B,0.002
0.8,K02A|B,0.001
0.8,D05Z,0.005
0.8,B02A|B|C,0.002
0.8,D64Z,0.0
0.8,K06A|B,0.0
0.8,C04Z,0.003
0.8,J13A|B,0.004
0.8,G11Z,0.003
0.8,D60A|B|C,0.0
0.8,I16Z,0.003
0.8,L02A|B,0.003
0.8,I10A|B,0.0
0.8,B07A|B,0.0
0.8,T63A|B,0.001
0.8,L05A|B,0.002
0.8,I13A|B|C,0.004
0.8,B69A|B,0.003
0.8,I73A|B,0.0
0.8,G70A|B|C,0.026
0.8,L04A|B|C,0.0
0.8,C13Z,0.004
0.8,E76A|B,0.003
0.8,I08A|B,0.002
0.8,I23Z,0.004
0.8,J08A|B|C,0.004
0.8,J60A|B|C,0.0
0.8,U68Z,0.006
0.8,F12A|B,0.0
0.8,T64A|B|C,0.002
0.8,H08A|B,0.0
0.8,D06Z,0.001
0.8,I72A|B,0.0
0.8,B64A|B,0.001
0.8,N62Z,0.014
0.8,G65A|B,0.02
0.8,N06Z,0.0
0.8,F43Z,0.0
0.8,R01A|B,0.001
0.8,X00X|B,0.041
0.8,F76A|B|C,0.002
0.8,I69A|B,0.0
0.8,D13Z,0.002
0.8,U66Z,0.0
0.8,U40Z,0.002
0.8,K01A|B,0.001
0.8,M61A|B,0.001
0.8,I32A|B,0.004
0.8,J68A|B|C,0.0
0.8,L65A|B,0.004
0.8,I75A|B,0.0
0.8,F11A|B,0.002
0.8,L64A|B|C,0.007
0.8,J10Z,0.003
0.8,M04Z,0.003
0.8,R62A|B,0.019
0.8,I76A|B,0.0
0.8,C62A|B,0.0
0.8,I63A|B,0.0
0.8,C10Z,0.001
0.8,U63A|B,0.008
0.8,F62A|B|C,0.01
0.8,F13A|B,0.001
0.8,I81Z,0.0
0.8,F21A|B,0.003
0.8,F05A|B,0.001
0.8,I24Z,0.004
0.8,U65Z,0.003
0.8,F66A|B,0.004
0.8,D12A|B,0.004
0.8,I79A|B,0.0
0.8,T01A|B|C,0.0
0.8,N11Z,0.001
0.8,L41Z,0.02
0.8,H64A|B|C,0.0
0.8,I30Z,0.003
0.8,F08A|B,0.003
0.8,B78A|B|C,0.001
0.8,R03A|B|C,0.001
0.8,I64A|B,0.0
0.8,N04A|B,0.0
0.8,F41A|B,0.0
0.8,B03A|B,0.003
0.8,B68A|B,0.002
0.8,F68Z,0.011
0.8,H63A|B|C,0.0
0.8,I20Z,0.003
0.8,M62A_B,0.0
0.8,F64A|B,0.0
0.8,R60A|B|C,0.003
0.8,H05A|B,0.0
0.8,H62A|B,0.0
0.8,B71A|B|C,0.003
0.8,E41a|B,0.004
0.8,I31A|B,0.004
0.8,L40Z,0.022
0.8,X00X|A,0.01
0.8,K64A|B|C,0.0
0.8,F67A|B,0.0
0.8,D62A|B,0.0
0.8,G03A|B|C,0.001
0.8,B04A|B,0.002
0.8,J11Z,0.004
0.8,J14Z,0.001
0.8,K13Z,0.001
0.8,F60A|B,0.0
0.8,G07A|B,0.003
0.8,B76A|B|C,0.003
0.8,C16Z,0.003
0.8,E63Z,0.001
0.8,M40Z,0.001
0.8,E64A|B,0.002
0.8,G04A|B|C,0.003
0.8,B70A|B|C|D,0.002
0.8,J63A|B,0.0
0.8,F01A|B,0.0
0.8,N08Z,0.0
0.8,L60A|B|C,0.001
0.8,R04A|B,0.0
0.8,I27A|B|C,0.003
0.8,D15Z,0.003
0.8,F09A|B|C,0.0
0.8,I17A|B,0.004
0.8,F07A|B,0.0
0.8,F65A|B,0.0
0.8,K11A|B,0.001
0.8,R63Z,0.005
0.8,G05A|B|C,0.002
0.8,L63A|B,0.011
0.8,R61A|B|C,0.033
0.8,I80Z,0.0
0.8,I01A|B,0.004
0.8,D66A|B|C,0.0
0.8,L66Z,0.022
0.8,H61A|B|C,0.0
0.8,G47A|B|C,0.003
0.8,H06A|B,0.0
0.8,B79A|B,0.0
0.8,I05A|B,0.002
0.8,I67A|B,0.0
0.8,I74A|B,0.0
0.8,I19A|B,0.004
0.8,G60A|B,0.023
0.8,I11Z,0.001
0.8,D02A|B|C,0.0
0.8,U60Z,0.002
0.8,G67A|B,0.009
0.8,A40A|B,0.0
0.8,F42A|B|C,0.0
0.8,H02A|B,0.0
0.8,K09A|B,0.0
0.8,J65A|B|C,0.0
0.8,M05Z,0.002
0.8,G61A|B,0.024
0.8,F40A|B,0.0
0.8,E67A|B,0.004
0.8,D04Z,0.0
0.8,C05Z,0.006
0.8,K60A|B|C,0.001
0.8,F04A|B,0.0
0.8,I12A|B|C,0.004
0.8,I15Z,0.002
0.8,J67A|B,0.0
0.8,F63A|B,0.0
0.8,I07Z,0.004
0.8,I28A|B,0.002
0.8,I60Z,0.0
0.8,J64A|B,0.0
0.8,I18Z,0.002
0.8,M01A|B,0.005
0.8,B73Z,0.003
0.8,G48A|B|C,0.011
0.8,F18A|B,0.0
0.8,F75A|B|C,0.0
0.8,D11Z,0.003
0.8,E42A|B|C,0.004
0.8,M60A|B,0.0
0.8,L07A|B,0.0
0.8,R02A|B|C,0.001
0.8,L68Z,0.006
0.8,F10A|B,0.0
0.8,K61Z,0.001
0.8,C15Z,0.004
0.8,I68A|B,0.0
0.8,D63A|B|C,0.0
0.8,I03A|B,0.001
0.8,M64Z,0.0
0.8,I78A|B,0.0
0.8,E01A|B,0.002
0.8,B41Z,0.002
0.8,L62A|B,0.004
0.8,L42Z,0.02
0.8,E66A|B|C,0.002
0.8,F73A|B|C,0.0
0.8,G46A|B|C,0.006
0.8,M06A|B,0.014
0.8,D61A|B|C,0.0
0.8,E74A|B|C,0.002
0.8,K12Z,0.001
0.8,F03A|B,0.0
0.8,G02A|B,0.003
0.8,L08A|B,0.001
0.8,N60A|B,0.022
0.8,B05Z,0.003
0.8,B81A|B,0.001
0.8,F19A|B,0.0
0.8,E61A|B,0.0
0.8,L09A|B|C,0.0
0.8,I29Z,0.004
0.8,I21Z,0.003
0.8,J01A|B,0.002
0.8,E65A|B,0.004
0.8,D65Z,0.0
0.8,U64Z,0.008
0.8,N61Z,0.004
0.8,F02Z,0.0
0.8,E73A|B|C,0.003
0.8,K63A|B,0.0
0.8,F61A|B,0.003
0.8,L06A|B,0.0
0.8,E70A|B,0.003
0.8,L03A|B|C,0.002
0.8,N09Z,0.0
0.8,N10Z,0.0
0.8,F17Z,0.0
0.8,G10A|B,0.003
0.8,L67A|B|C,0.028
0.8,B77Z,0.002
0.8,B80A|B,0.003
0.8,I02A|B,0.0
0.8,J09Z,0.001
0.8,D14A|B,0.001
0.8,I71A|B,0.0
0.8,E62A|B|C,0.004
0.8,E68A|B,0.001
0.8,I61A|B,0.0
0.8,G64A|B,0.006
0.8,B72A|B,0.0
0.8,E75A|B,0.003
0.8,C11Z,0.003
0.8,I77A|B,0.0
0.8,U67Z,0.011
0.8,C60A|B,0.001
0.8,K08Z,0.0
0.8,H60A|B|C,0.0
0.8,E02A|B|C,0.0
0.8,G12A|B|C,0.004
0.8,F20Z,0.001
0.8,G66A|B,0.014
0.8,B66A|B|C,0.002
0.8,J12A|B|C,0.004
0.8,C63A|B,0.001
0.8,F72A|B,0.016
0.8,K40A|B|C,0.001
0.8,I09A|B,0.004
0.8,I65A|B,0.0
0.8,F14A|B|C,0.001
0.8,F69A|B,0.006
0.8,N07A|B,0.0
0.8,C01Z,0.005
0.8,C02Z,0.006
0.8,C61A|B,0.001
0.8,C12Z,0.005
0.8,I04A|B,0.001
0.8,F74A|B,0.013
0.8,I06Z,0.003
0.8,I25A|B,0.003
0.8,J06A|B,0.001
0.8,G01A|B,0.004
0.8,M02A|B,0.015
0.8,U62A|B,0.008
0.8,F06A|B,0.001
0.8,M03Z,0.009
0.8,J62A|B,0.0
0.8,T60A|B,0.0
0.8,B01A|B,0.003
0.8,T61A|B,0.001
0.8,H01A|B,0.0
0.9,K03Z,0.001
0.9,T62A|B,0.001
0.9,K62A|B|C,0.0
0.9,B67A|B|C,0.003
0.9,B82A|B|C,0.002
0.9,J07A|B,0.004
0.9,H07A|B,0.0
