p_transf,obj,n_patients,spi,qci
0.0,58254.594288467866,58254.594288467866,,
0.1,68696.91880687284,68696.91880687284,,
0.2,73403.22306595981,73403.22306595981,,
0.30000000000000004,78109.52732504667,78109.52732504667,,
0.4,82815.83158413364,82815.83158413364,,
0.5,86941.6238665613,86941.6238665613,,
0.6000000000000001,90119.90533109335,90119.90533109335,,
0.7000000000000001,93141.90156247604,93141.90156247604,,
0.8,96163.48777735434,96163.48777735434,,
0.9,98657.80289348241,98657.80289348241,,
1.0,100722.67476008189,100722.67476008189,,
