dep_code,p_transf,p_orth,resources_mult,resource,usage
42,0.8,0,1,OPH,1.0
42,0.8,0,1,ORL,1.0
42,0.8,0,1,RHUMA,1.0
42,0.8,0,1,URO,1.0
42,0.9,0,1,CHIR/ORTHO,0.996
42,0.9,0,1,ANES,0.995
42,0.9,0,1,KINE_MCO,1.0
42,0.9,0,1,DAY_HC,1.0
42,0.9,0,1,KINE_DOM,1.0
42,0.9,0,1,KINE_SSR,1.0
42,0.9,0,1,finance,0.991
42,0.9,0,1,CSC,1.0
42,0.9,0,1,DERMA,1.0
42,0.9,0,1,ENDO,1.0
42,0.9,0,1,GASTRO,1.0
42,0.9,0,1,GYNECO,1.0
42,0.9,0,1,OPH,1.0
42,0.9,0,1,ORL,1.0
42,0.9,0,1,RHUMA,1.0
42,0.9,0,1,URO,1.0
42,1.0,0,1,CHIR/ORTHO,0.996
42,1.0,0,1,ANES,0.995
42,1.0,0,1,KINE_MCO,1.0
42,1.0,0,1,DAY_HC,1.0
42,1.0,0,1,KINE_DOM,1.0
42,1.0,0,1,KINE_SSR,1.0
42,1.0,0,1,finance,0.991
42,1.0,0,1,CSC,1.0
42,1.0,0,1,DERMA,1.0
42,1.0,0,1,ENDO,1.0
42,1.0,0,1,GASTRO,1.0
42,1.0,0,1,GYNECO,1.0
42,1.0,0,1,OPH,1.0
42,1.0,0,1,ORL,1.0
42,1.0,0,1,RHUMA,1.0
42,1.0,0,1,URO,1.0
42,0.0,0.04,1,CHIR/ORTHO,0.511
42,0.0,0.04,1,ANES,0.511
42,0.0,0.04,1,KINE_MCO,0.517
42,0.0,0.04,1,DAY_HC,0.126
42,0.0,0.04,1,KINE_DOM,1.0
42,0.0,0.04,1,KINE_SSR,0.069
42,0.0,0.04,1,finance,0.394
42,0.0,0.04,1,CSC,0.581
42,0.0,0.04,1,DERMA,0.683
42,0.0,0.04,1,ENDO,0.566
42,0.0,0.04,1,GASTRO,0.595
42,0.0,0.04,1,GYNECO,0.456
42,0.0,0.04,1,OPH,0.601
42,0.0,0.04,1,ORL,0.269
42,0.0,0.04,1,RHUMA,0.616
42,0.0,0.04,1,URO,0.316
42,0.1,0.04,1,CHIR/ORTHO,0.707
42,0.1,0.04,1,ANES,0.706
42,0.1,0.04,1,KINE_MCO,0.75
42,0.1,0.04,1,DAY_HC,0.417
42,0.1,0.04,1,KINE_DOM,1.0
42,0.1,0.04,1,KINE_SSR,1.0
42,0.1,0.04,1,finance,0.599
42,0.1,0.04,1,CSC,1.0
42,0.1,0.04,1,DERMA,1.0
42,0.1,0.04,1,ENDO,1.0
42,0.1,0.04,1,GASTRO,1.0
42,0.1,0.04,1,GYNECO,0.92
42,0.1,0.04,1,OPH,1.0
42,0.1,0.04,1,ORL,0.833
42,0.1,0.04,1,RHUMA,1.0
